color,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,Rand
1,6.5,0.18,0.41,14.2,0.039,47,129,0.99678,3.28,0.72,10.3,7,0.3565640082
0,7.5,0.49,0.19,1.9,0.076,10,44,0.9957,3.39,0.54,9.7,5,0.6998592904
1,6.6,0.19,0.41,8.9,0.046,51,169,0.9954,3.14,0.57,9.8,6,0.0535015359
1,6.6,0.15,0.34,5.1,0.055,34,125,0.9942,3.36,0.42,9.6,5,0.8637111301
1,5.5,0.14,0.27,4.6,0.029,22,104,0.9949,3.34,0.44,9,5,0.085208891
1,7.7,0.43,0.37,10,0.169,22,210,0.99776,3.02,0.64,9.5,5,0.2797146342
1,7.8,0.28,0.25,3.4,0.024,27,99,0.98959,2.98,0.37,13,6,0.0854108098
1,6.9,0.75,0.13,6.3,0.036,19,50,0.99312,3.09,0.25,11.1,4,0.5729019421
1,5.9,0.32,0.28,4.7,0.039,34,94,0.98964,3.22,0.57,13.1,7,0.2230205734
1,8.8,0.34,0.33,9.7,0.036,46,172,0.9966,3.08,0.4,10.2,5,0.40085708
1,7.8,0.26,0.44,1.3,0.037,43,132,0.9944,3.18,0.65,10,5,0.3676107486
0,9.8,0.5,0.34,2.3,0.094,10,45,0.99864,3.24,0.6,9.7,7,0.7676941608
1,7.6,0.29,0.29,4.4,0.051,26,146,0.9939,3.16,0.39,10.2,5,0.4831074136
1,6.2,0.46,0.25,4.4,0.066,62,207,0.9939,3.25,0.52,9.8,5,0.3213966733
1,6.4,0.28,0.19,5.4,0.042,67,181,0.99435,3.31,0.35,10.2,6,0.8350919033
1,6.4,0.16,0.44,1.2,0.051,39,122,0.99058,3.11,0.75,11.3,7,0.3545319503
1,6.5,0.35,0.28,12.4,0.051,86,213,0.9962,3.16,0.51,9.9,6,0.5414638845
1,5.8,0.32,0.38,4.75,0.033,23,94,0.991,3.42,0.42,11.8,7,0.6152936849
1,7.8,0.3,0.37,1.3,0.051,16,96,0.9941,3.32,0.62,10,5,0.7394455981
0,7.5,0.51,0.02,1.7,0.084,13,31,0.99538,3.36,0.54,10.5,6,0.1287150953
1,7,0.28,0.28,1.4,0.039,12,83,0.99173,3.18,0.65,11.1,5,0.2575645337
0,11.6,0.44,0.64,2.1,0.059,5,15,0.998,3.21,0.67,10.2,6,0.8697112487
1,6,0.24,0.27,1.9,0.048,40,170,0.9938,3.64,0.54,10,7,0.2591041829
0,7.8,0.41,0.68,1.7,0.467,18,69,0.9973,3.08,1.31,9.3,5,0.9404530651
1,6.4,0.46,0.08,4.9,0.046,34,144,0.99445,3.1,0.56,10,5,0.0155094806
1,6.6,0.36,0.52,11.3,0.046,8,110,0.9966,3.07,0.46,9.4,5,0.0649557135
1,6.6,0.38,0.29,2.9,0.035,15,101,0.98916,3.04,0.37,12.5,6,0.0278036594
1,6.6,0.31,0.38,16.05,0.058,16,165,0.9997,3.38,0.6,9.2,5,0.0184741025
1,5.8,0.32,0.31,2.7,0.049,25,153,0.99067,3.44,0.73,12.2,7,0.427220576
1,7.5,0.29,0.26,14.95,0.067,47,178,0.99838,3.04,0.49,9.2,4,0.2134544903
1,6.7,0.38,0.26,9.55,0.036,35,91,0.9919,2.98,0.37,12.4,6,0.2438639894
0,8.7,0.625,0.16,2,0.101,13,49,0.9962,3.14,0.57,11,5,0.9282552418
1,7.4,0.29,0.29,1.6,0.045,53,180,0.9936,3.34,0.68,10.5,6,0.8040150236
1,7.3,0.49,0.32,5.2,0.043,18,104,0.9952,3.24,0.45,10.7,4,0.0603837545
1,9.8,0.31,0.49,15.4,0.046,13,119,1.0004,3.18,0.45,9.5,5,0.3026882173
1,6.2,0.24,0.27,16.8,0.04,48,129,0.99691,3.23,0.38,10.5,6,0.9919188526
1,7.3,0.4,0.28,6.5,0.037,26,97,0.99148,3.16,0.58,12.6,7,0.8859491497
1,7.8,0.965,0.6,65.8,0.074,8,160,1.03898,3.39,0.69,11.7,6,0.0009951601
1,6.6,0.3,0.25,8,0.036,21,124,0.99362,3.06,0.38,10.8,6,0.8650998638
1,8.1,0.12,0.38,0.9,0.034,36,86,0.99026,2.8,0.55,12,6,0.8924492681
0,6.8,0.64,0,2.7,0.123,15,33,0.99538,3.44,0.63,11.3,6,0.4575081405
1,7.2,0.25,0.19,8,0.044,51,172,0.9964,3.16,0.44,9.2,5,0.6804166541
0,6.6,0.39,0.49,1.7,0.07,23,149,0.9922,3.12,0.5,11.5,6,0.908022119
1,6.6,0.26,0.28,9.4,0.028,13,121,0.99254,3.17,0.34,12.1,6,0.8005029124
0,6.6,0.44,0.09,2.2,0.063,9,18,0.99444,3.42,0.69,11.3,6,0.3884218715
0,8.2,0.28,0.4,2.4,0.052,4,10,0.99356,3.33,0.7,12.8,7,0.5952510065
1,7.2,0.3,0.26,1.5,0.041,46,178,0.99154,3.19,0.56,11.3,6,0.0795482921
0,12.8,0.84,0.63,2.4,0.088,13,35,0.9997,3.1,0.6,10.4,6,0.7837326392
1,7.5,0.21,0.34,1.2,0.06,26,111,0.9931,3.51,0.47,10.7,6,0.5001821574
1,6.6,0.46,0.49,7.4,0.052,19,184,0.9956,3.11,0.38,9,5,0.6099337263
1,5.8,0.24,0.26,10.05,0.039,63,162,0.99375,3.33,0.5,11.2,6,0.1884008758
1,7.9,0.35,0.28,12.9,0.032,13,63,0.9932,2.99,0.43,13,6,0.948326245
1,7.5,0.35,0.48,12.4,0.056,61,176.5,0.99803,2.97,0.52,8.8,5,0.784139802
1,5.8,0.13,0.22,12.7,0.058,24,183,0.9956,3.32,0.42,11.7,6,0.7127645798
1,7.1,0.29,0.34,7.8,0.036,49,128,0.99397,3.21,0.4,10.7,6,0.6521874997
1,7.1,0.34,0.86,1.4,0.174,36,99,0.99288,2.92,0.5,9.3,5,0.6431183869
0,6.5,0.51,0.15,3,0.064,12,27,0.9929,3.33,0.59,12.8,6,0.9358130647
1,6.8,0.52,0.32,13.2,0.044,54,221,0.9972,3.27,0.5,9.6,6,0.0877158705
1,6.2,0.36,0.32,4,0.036,44,92,0.98936,3.2,0.5,13.3,7,0.9971668362
1,6.5,0.18,0.41,14.2,0.039,47,129,0.99678,3.28,0.72,10.3,7,0.1756579126
1,7.2,0.08,0.49,1.3,0.05,18,148,0.9945,3.46,0.44,10.2,6,0.7683140507
1,6.8,0.23,0.3,1.7,0.043,19,95,0.99207,3.17,0.46,10.7,7,0.4572269814
0,6.5,0.53,0.06,2,0.063,29,44,0.99489,3.38,0.83,10.3,6,0.3221559606
1,6.3,0.26,0.42,7.1,0.045,62,209,0.99544,3.2,0.53,9.5,6,0.1716065712
1,6.8,0.43,0.26,5.2,0.043,40,176,0.99116,3.17,0.41,12.3,6,0.8968955192
0,6.2,0.56,0.09,1.7,0.053,24,32,0.99402,3.54,0.6,11.3,5,0.7168094066
1,6.9,0.22,0.31,6.3,0.029,41,131,0.99326,3.08,0.49,10.8,6,0.1930622808
1,7.4,0.31,0.48,14.2,0.042,62,204,0.9983,3.06,0.59,9.4,5,0.5027982777
1,7.2,0.29,0.2,7.7,0.046,51,174,0.99582,3.16,0.52,9.5,5,0.782284908
0,7.5,0.52,0.16,1.9,0.085,12,35,0.9968,3.38,0.62,9.5,7,0.2028217285
1,7.5,0.26,0.52,13.2,0.047,64,179,0.9982,3.1,0.46,9,5,0.8113915443
1,7.2,0.2,0.38,1,0.037,21,74,0.9918,3.21,0.37,11,5,0.1600399911
1,7.6,0.2,0.3,14.2,0.056,53,212.5,0.999,3.14,0.46,8.9,8,0.3856171221
1,7.5,0.34,0.28,4,0.028,46,100,0.98958,3.2,0.5,13.2,7,0.0158174036
1,6.7,0.3,0.74,5,0.038,35,157,0.9945,3.21,0.46,9.9,5,0.2073823346
0,7.7,0.54,0.26,1.9,0.089,23,147,0.99636,3.26,0.59,9.7,5,0.8557145346
0,6.8,0.77,0,1.8,0.066,34,52,0.9976,3.62,0.68,9.9,5,0.0069718256
0,9.8,0.25,0.49,2.7,0.088,15,33,0.9982,3.42,0.9,10,6,0.5688797629
1,8.7,0.23,0.32,13.4,0.044,35,169,0.99975,3.12,0.47,8.8,7,0.0597298478
1,6.5,0.3,0.32,2,0.044,34,90,0.99185,3.37,0.68,11,7,0.1905916785
1,7.1,0.18,0.32,12.2,0.048,36,125,0.9967,2.92,0.54,9.4,6,0.4095896897
1,5,0.27,0.4,1.2,0.076,42,124,0.99204,3.32,0.47,10.1,6,0.4986656485
1,5.6,0.26,0.18,1.4,0.034,18,135,0.99174,3.32,0.35,10.2,6,0.8825870536
1,5.9,0.21,0.31,1.8,0.033,45,142,0.98984,3.35,0.5,12.7,6,0.8855167404
1,5.7,0.32,0.5,2.6,0.049,17,155,0.9927,3.22,0.64,10,6,0.3027825188
1,7.3,0.23,0.24,0.9,0.031,29,86,0.98926,2.9,0.38,12.2,6,0.1675948319
0,11.4,0.625,0.66,6.2,0.088,6,24,0.9988,3.11,0.99,13.3,6,0.8078229541
1,6.8,0.27,0.24,4.6,0.098,36,127,0.99412,3.15,0.49,9.6,6,0.10973067
0,8,0.48,0.34,2.2,0.073,16,25,0.9936,3.28,0.66,12.4,6,0.3198933799
1,6.3,0.13,0.42,1.1,0.043,63,146,0.99066,3.13,0.72,11.2,7,0.1106065928
1,5.2,0.185,0.22,1,0.03,47,123,0.99218,3.55,0.44,10.15,6,0.1614576101
1,7.7,0.28,0.35,15.3,0.056,31,117,0.9998,3.27,0.5,9.6,5,0.7564563653
1,6.4,0.15,0.31,1.1,0.044,25,96,0.9932,3.54,0.51,10.3,6,0.7757474901
0,7.9,0.885,0.03,1.8,0.058,4,8,0.9972,3.36,0.33,9.1,4,0.1686987774
1,5.7,0.695,0.06,6.8,0.042,9,84,0.99432,3.44,0.44,10.2,5,0.1076678867
1,10.3,0.25,0.48,2.2,0.042,28,164,0.998,3.19,0.59,9.7,5,0.7003951517
0,8.6,0.37,0.65,6.4,0.08,3,8,0.99817,3.27,0.58,11,5,0.2915648022
1,6.4,0.31,0.31,12.9,0.045,55,161,0.99546,3.02,0.59,10.2,5,0.961616765
0,8.2,0.74,0.09,2,0.067,5,10,0.99418,3.28,0.57,11.8,6,0.2686014385
1,8.3,0.19,0.49,1.2,0.051,11,137,0.9918,3.06,0.46,11,6,0.6807080505
0,5.9,0.61,0.08,2.1,0.071,16,24,0.99376,3.56,0.77,11.1,6,0.3564950551
1,7.5,0.33,0.38,8.7,0.126,49,199,0.99711,2.98,0.57,9.4,5,0.8046702237
0,8,0.67,0.3,2,0.06,38,62,0.9958,3.26,0.56,10.2,6,0.1960107917
1,7.6,0.31,0.24,1.8,0.037,39,150,0.9913,3.05,0.44,11.8,7,0.7577969227
0,7.5,0.63,0.27,2,0.083,17,91,0.99616,3.26,0.58,9.8,6,0.4035029833
0,7.2,0.65,0.02,2.3,0.094,5,31,0.9993,3.67,0.8,9.7,5,0.3242875624
1,7.3,0.28,0.43,1.7,0.08,21,123,0.9905,3.19,0.42,12.8,5,0.1875106648
0,7.4,0.47,0.46,2.2,0.114,7,20,0.99647,3.32,0.63,10.5,5,0.3647646662
1,7.8,0.29,0.22,9.5,0.056,44,213,0.99715,3.08,0.61,9.3,6,0.6246463661
1,6.4,0.27,0.49,7.3,0.046,53,206,0.9956,3.24,0.43,9.2,6,0.4170671811
1,5.8,0.14,0.15,6.1,0.042,27,123,0.99362,3.06,0.6,9.9,6,0.1717423513
1,7.2,0.32,0.3,8.25,0.02,14,104,0.99362,2.99,0.44,11.4,6,0.148010669
1,6.7,0.39,0.31,2.7,0.054,27,202,0.9948,3.46,0.57,10.5,6,0.6788338022
1,6.3,0.22,0.57,1.4,0.208,14,96,0.9932,3.16,0.43,10,6,0.0726419813
0,10.4,0.34,0.58,3.7,0.174,6,16,0.997,3.19,0.7,11.3,6,0.1935933167
1,6.4,0.28,0.17,8.3,0.042,61,195,0.99577,3.22,0.46,9.4,5,0.4076302969
0,7.4,0.36,0.3,1.8,0.074,17,24,0.99419,3.24,0.7,11.4,8,0.9765146142
1,6.6,0.295,0.24,1.6,0.039,29,140,0.99304,3.35,0.61,10.4,7,0.5393196219
1,6.6,0.435,0.38,9.2,0.058,66,243,0.99833,3.23,0.54,9.1,6,0.7810268481
0,6.9,0.57,0,2.8,0.081,21,41,0.99518,3.41,0.52,10.8,5,0.0902749142
0,8.2,0.23,0.42,1.9,0.069,9,17,0.99376,3.21,0.54,12.3,6,0.2954284656
1,6.7,0.24,0.39,2.9,0.173,63,157,0.9937,3.1,0.34,9.4,6,0.3091438229
1,5.6,0.19,0.39,1.1,0.043,17,67,0.9918,3.23,0.53,10.3,6,0.8994430881
1,7.7,0.17,0.52,5.9,0.017,21,84,0.9929,3.14,0.4,11.9,7,0.8207320182
1,5.6,0.245,0.32,1.1,0.047,24,152,0.9927,3.12,0.42,9.3,6,0.8087677669
1,6.2,0.27,0.47,1.2,0.146,28,105,0.99224,3.23,0.51,10.1,5,0.36988748
1,5.9,0.22,0.38,1.3,0.046,24,90,0.99232,3.2,0.47,10,6,0.4928809749
1,6,0.2,0.38,1.3,0.034,37,104,0.98865,3.11,0.52,12.7,6,0.3400079026
1,6.8,0.14,0.18,1.4,0.047,30,90,0.99164,3.27,0.54,11.2,6,0.4454427792
1,6.4,0.125,0.36,1.4,0.044,22,68,0.99014,3.15,0.5,11.7,7,0.4964177443
1,6.7,0.31,0.18,7.7,0.043,57,200,0.99566,3.17,0.44,9.4,6,0.8096572484
1,6,0.16,0.3,6.7,0.043,43,153,0.9951,3.63,0.46,10.6,5,0.4705047403
1,6.6,0.22,0.28,12.05,0.058,25,125,0.99856,3.45,0.45,9.4,5,0.6899638304
1,8,0.36,0.43,10.1,0.053,29,146,0.9982,3.4,0.46,9.5,6,0.5837765569
0,11.6,0.41,0.58,2.8,0.096,25,101,1.00024,3.13,0.53,10,5,0.6356065345
0,6.9,0.52,0.25,2.6,0.081,10,37,0.99685,3.46,0.5,11,5,0.5443577704
1,6.7,0.11,0.26,14.8,0.053,44,95,0.99676,3.2,0.35,9.8,6,0.3591232994
1,5.6,0.185,0.49,1.1,0.03,28,117,0.9918,3.55,0.45,10.3,6,0.2813564038
0,8.5,0.4,0.4,6.3,0.05,3,10,0.99566,3.28,0.56,12,4,0.6430384661
0,9.4,0.24,0.33,2.3,0.061,52,73,0.99786,3.47,0.9,10.2,6,0.3510699265
1,6.4,0.36,0.2,5.7,0.118,61,172,0.9946,3.24,0.43,9.5,6,0.1653822367
0,12.7,0.6,0.65,2.3,0.063,6,25,0.9997,3.03,0.57,9.9,5,0.1172931755
1,5.7,0.135,0.3,4.6,0.042,19,101,0.9946,3.31,0.42,9.3,6,0.7885482274
1,7.1,0.14,0.4,1.2,0.051,55,136,0.9932,3.3,0.96,9.8,7,0.4531670052
1,5.9,0.42,0.36,2.4,0.034,19,77,0.99184,3.25,0.48,10.9,5,0.4741930678
1,8.7,0.49,0.57,17.8,0.052,34,243,1.0007,2.98,0.82,9,5,0.2270380259
1,6.6,0.25,0.51,8,0.047,61,189,0.99604,3.22,0.49,9.2,5,0.7782473934
1,7.1,0.25,0.28,1.6,0.052,46,169,0.9926,3.05,0.41,10.5,5,0.7100297781
1,6.4,0.38,0.2,5.3,0.117,57,181,0.99459,3.24,0.43,9.5,6,0.9422400142
1,6.6,0.2,0.27,10.9,0.038,29,130,0.99496,3.11,0.44,10.5,7,0.8655215902
1,6.8,0.26,0.43,11.75,0.045,53,198,0.9969,3.26,0.55,9.5,5,0.9479892724
1,7,0.29,0.33,0.9,0.041,20,117,0.99048,3.21,0.5,11.4,5,0.6477477851
1,7.7,0.26,0.4,1.1,0.042,9,60,0.9915,2.89,0.5,10.6,5,0.8944191132
1,7.1,0.2,0.36,11.6,0.042,45,124,0.997,2.92,0.59,9.5,7,0.2831543721
1,7.4,0.41,0.66,10.8,0.051,77,194,0.9976,3.05,0.46,8.7,5,0.5841952767
1,7.9,0.3,0.27,8.5,0.036,20,112,0.9939,2.96,0.46,11.7,6,0.288804925
1,5.9,0.21,0.23,7.9,0.033,22,130,0.9944,3.38,0.59,10.9,6,0.8944660127
1,7.2,0.24,0.28,1.9,0.032,30,92,0.9914,3.1,0.39,10.9,6,0.629130787
0,7.2,0.41,0.3,2.1,0.083,35,72,0.997,3.44,0.52,9.4,5,0.3847729608
1,6,0.26,0.5,2.2,0.048,59,153,0.9928,3.08,0.61,9.8,5,0.9469194442
1,6.4,0.16,0.25,1.3,0.047,20,77,0.9933,3.61,0.54,10.2,6,0.1167513176
1,6.1,0.19,0.37,2.6,0.041,24,99,0.99153,3.18,0.5,10.9,6,0.0406376026
1,5.9,0.23,0.24,1.6,0.037,32,115,0.99076,3.21,0.51,11.4,6,0.2481541436
1,6.2,0.36,0.45,10.4,0.06,22,184,0.99711,3.31,0.56,9.8,6,0.6929894143
1,7.4,0.2,0.37,16.95,0.048,43,190,0.9995,3.03,0.42,9.2,6,0.6181454877
0,8.8,0.47,0.49,2.9,0.085,17,110,0.9982,3.29,0.6,9.8,5,0.1044921069
1,7.8,0.21,0.39,1.8,0.034,62,180,0.991,3.09,0.75,12.6,8,0.359913022
1,6.4,0.25,0.53,6.6,0.038,59,234,0.9955,3.03,0.42,8.8,5,0.1470369902
1,6.2,0.43,0.49,6.4,0.045,12,115,0.9963,3.27,0.57,9,4,0.7781262631
0,9.1,0.795,0,2.6,0.096,11,26,0.9994,3.35,0.83,9.4,6,0.8322510847
1,8,0.14,0.33,1.2,0.045,71,162,0.9914,3.07,0.47,11,6,0.8055058613
1,6.4,0.125,0.29,5.85,0.042,24,99,0.992,3.23,0.32,12,7,0.6205490693
0,8.3,0.715,0.15,1.8,0.089,10,52,0.9968,3.23,0.77,9.5,5,0.6541816783
1,6.7,0.18,0.31,10.6,0.035,42,143,0.99572,3.08,0.49,9.8,7,0.5714247483
1,6.2,0.28,0.28,4.3,0.026,22,105,0.989,2.98,0.64,13.1,8,0.6593697264
1,6.8,0.24,0.34,5.1,0.038,31,99,0.9921,3.24,0.46,11.8,6,0.7207476625
1,6.4,0.32,0.23,16.2,0.055,36,176,0.9986,3.26,0.54,9.1,5,0.9559286498
0,8.2,0.39,0.49,2.3,0.099,47,133,0.9979,3.38,0.99,9.8,5,0.7184958057
1,6.3,0.28,0.47,11.2,0.04,61,183,0.99592,3.12,0.51,9.5,6,0.4008214346
1,6.6,0.41,0.16,1.4,0.037,28,160,0.99167,2.95,0.45,10.6,6,0.8558104117
1,7.2,0.34,0.23,8.9,0.105,22,155,0.99692,3.01,0.58,9.5,5,0.3616413975
0,7.2,0.52,0.07,1.4,0.074,5,20,0.9973,3.32,0.81,9.6,6,0.7535629659
0,6.4,0.67,0.08,2.1,0.045,19,48,0.9949,3.49,0.49,11.4,6,0.4603575147
1,7.4,0.33,0.26,15.6,0.049,67,210,0.99907,3.06,0.68,9.5,5,0.6504680407
1,6.2,0.36,0.22,5.25,0.038,44,145,0.99184,3.22,0.4,11.2,6,0.0381145603
1,5.3,0.16,0.39,1,0.028,40,101,0.99156,3.57,0.59,10.6,6,0.1691407491
1,6.3,0.27,0.37,7.9,0.047,58,215,0.99542,3.19,0.48,9.5,6,0.655146257
1,6.9,0.19,0.4,1.4,0.036,14,55,0.9909,3.08,0.68,11.5,7,0.5151849005
1,6,0.21,0.29,13.1,0.042,28,125,0.99936,3.39,0.45,8.6,5,0.5364182054
1,7.4,0.32,0.27,12.9,0.04,60,221,0.99831,3.05,0.66,9.4,5,0.6979417719
1,5.9,0.34,0.3,3.8,0.035,57,135,0.99016,3.09,0.34,12,6,0.938267462
0,8.9,0.5,0.21,2.2,0.088,21,39,0.99692,3.33,0.83,11.1,6,0.5287432219
1,6.3,0.22,0.22,5.6,0.039,31,128,0.99296,3.12,0.46,10.4,6,0.4757565612
1,5.6,0.23,0.25,8,0.043,31,101,0.99429,3.19,0.42,10.4,6,0.2842327654
1,7.9,0.22,0.38,8,0.043,46,152,0.9934,3.12,0.32,11.5,7,0.8522057494
1,5.9,0.54,0,0.8,0.032,12,82,0.99286,3.25,0.36,8.8,5,0.3272511368
1,8,0.25,0.35,1.1,0.054,13,136,0.99366,3.08,0.55,9.5,5,0.7090198193
1,6.9,0.33,0.21,1,0.053,39,148,0.9927,3.12,0.45,9.4,6,0.545631153
1,6.1,0.17,0.28,2.5,0.028,22,98,0.99072,3.16,0.37,11.1,7,0.6788013035
1,7.7,0.39,0.34,10,0.056,35,178,0.9974,3.26,0.6,10.2,5,0.2917336556
1,7.2,0.26,0.44,7.1,0.027,25,126,0.993,3.02,0.34,11.1,8,0.5646391797
0,10.1,0.27,0.54,2.3,0.065,7,26,0.99531,3.17,0.53,12.5,6,0.9691630618
0,6.5,0.61,0,2.2,0.095,48,59,0.99541,3.61,0.7,11.5,6,0.2151681681
1,7,0.13,0.37,12.85,0.042,36,105,0.99581,3.05,0.55,10.7,6,0.7447809849
1,6.2,0.25,0.48,10,0.044,78,240,0.99655,3.25,0.47,9.5,6,0.3963761323
1,6.1,0.44,0.28,4.25,0.032,43,132,0.9916,3.26,0.47,11.3,7,0.984155006
0,7.7,0.57,0.21,1.5,0.069,4,9,0.99458,3.16,0.54,9.8,6,0.0471126474
0,7.2,0.62,0.06,2.7,0.077,15,85,0.99746,3.51,0.54,9.5,5,0.5580625022
1,5.1,0.35,0.26,6.8,0.034,36,120,0.99188,3.38,0.4,11.5,6,0.8400443902
1,6.7,0.66,0,13,0.033,32,75,0.99551,3.15,0.5,10.7,6,0.2081414112
0,7.1,0.61,0.02,2.5,0.081,17,87,0.99745,3.48,0.6,9.7,6,0.203436611
0,8.1,0.82,0,4.1,0.095,5,14,0.99854,3.36,0.53,9.6,5,0.5352287304
1,8,0.26,0.28,8.2,0.038,72,202,0.99566,3.12,0.56,10,6,0.7863130972
0,12.8,0.615,0.66,5.8,0.083,7,42,1.0022,3.07,0.73,10,7,0.7732930807
1,7.1,0.33,0.3,3.3,0.034,30,102,0.9912,3.08,0.31,12.3,7,0.4955009765
0,8,0.33,0.53,2.5,0.091,18,80,0.9976,3.37,0.8,9.6,6,0.97216403
0,6.6,0.61,0.01,1.9,0.08,8,25,0.99746,3.69,0.73,10.5,5,0.5841140316
1,6.4,0.46,0.22,14.7,0.047,51,183,0.998275,3.39,0.6,10.5,5,0.1378794371
1,6.8,0.18,0.3,12.8,0.062,19,171,0.99808,3,0.52,9,7,0.111742347
0,7,0.38,0.49,2.5,0.097,33,85,0.9962,3.39,0.77,11.4,6,0.0706578942
1,8.1,0.22,0.43,1.5,0.044,28,129,0.9938,3.22,0.45,11,6,0.6903113252
0,7.4,0.39,0.48,2,0.082,14,67,0.9972,3.34,0.55,9.2,5,0.2918343472
0,10.8,0.45,0.33,2.5,0.099,20,38,0.99818,3.24,0.71,10.8,5,0.9959862144
0,8.9,0.875,0.13,3.45,0.088,4,14,0.9994,3.44,0.52,11.5,5,0.5222683784
1,7.8,0.21,0.34,11.9,0.039,55,140,0.9959,3.02,0.31,10.3,6,0.9038525415
0,8.9,0.4,0.51,2.6,0.052,13,27,0.995,3.32,0.9,13.4,7,0.7069865954
1,6.5,0.33,0.3,3.8,0.036,34,88,0.99028,3.25,0.63,12.5,7,0.2740238754
0,6.2,0.45,0.2,1.6,0.069,3,15,0.9958,3.41,0.56,9.2,5,0.2039038851
1,6.4,0.29,0.24,3.2,0.037,31,95,0.98942,2.9,0.66,12.6,7,0.7619794947
1,5.6,0.32,0.32,8.3,0.043,32,105,0.99266,3.24,0.47,11.2,6,0.0976420308
1,6.8,0.27,0.29,4.6,0.046,6,88,0.99458,3.34,0.48,10.6,4,0.9913626423
1,6.8,0.27,0.35,7.8,0.048,76,197,0.9959,3.24,0.43,9.5,6,0.9377247654
1,7,0.2,0.34,2.1,0.049,12,136,0.9922,3.25,0.46,11.6,7,0.3976796183
0,8,0.59,0.05,2,0.089,12,32,0.99735,3.36,0.61,10,5,0.5754847918
1,6.2,0.2,0.25,15,0.055,8,120,0.99767,3.19,0.53,9.6,6,0.1342484034
1,6.6,0.26,0.52,8.2,0.047,52,191,0.99541,3.16,0.47,9.5,6,0.5523052551
0,8.9,0.35,0.4,3.6,0.11,12,24,0.99549,3.23,0.7,12,7,0.0419771944
1,8.2,0.22,0.36,6.8,0.034,12,90,0.9944,3.01,0.38,10.5,8,0.3141135359
1,5,0.55,0.14,8.3,0.032,35,164,0.9918,3.53,0.51,12.5,8,0.6453695439
1,6.6,0.24,0.35,7.7,0.031,36,135,0.9938,3.19,0.37,10.5,5,0.2871130314
1,8.4,0.17,0.31,6.7,0.038,29,132,0.9945,3.1,0.32,10.6,7,0.7802122824
1,7.1,0.365,0.14,1.2,0.055,24,84,0.9941,3.15,0.43,8.9,5,0.9634397235
1,6.1,0.36,0.58,15,0.044,42,115,0.9978,3.15,0.51,9,5,0.2491966106
1,7.2,0.2,0.3,2,0.039,43,188,0.9911,3.3,0.41,12,6,0.5522411969
1,6,0.2,0.32,3,0.031,26,118,0.99134,3.38,0.68,11.2,7,0.2637015781
0,8.8,0.61,0.19,4,0.094,30,69,0.99787,3.22,0.5,10,6,0.120788516
1,6.5,0.41,0.22,4.8,0.052,49,142,0.9946,3.14,0.62,9.2,5,0.202891167
1,6.7,0.41,0.27,2.6,0.033,25,85,0.99086,3.05,0.34,11.7,6,0.492432357
0,10.2,0.42,0.57,3.4,0.07,4,10,0.9971,3.04,0.63,9.6,5,0.1091977581
0,7.7,0.665,0,2.4,0.09,8,19,0.9974,3.27,0.73,9.3,5,0.6949205014
1,6.3,0.2,0.58,1.4,0.204,15,97,0.9931,3.16,0.43,10,6,0.302425144
1,6.6,0.34,0.34,2.6,0.051,40.5,210,0.99314,3.15,0.61,10,5,0.0923958838
1,6.2,0.32,0.16,7,0.045,30,136,0.9949,3.18,0.47,9.6,6,0.8629784505
0,10.8,0.45,0.33,2.5,0.099,20,38,0.99818,3.24,0.71,10.8,5,0.9887819176
1,6.6,0.21,0.38,2.2,0.026,40,104,0.9914,3.25,0.4,11.1,8,0.6817450016
1,6.7,0.28,0.14,1.4,0.043,64,159,0.992,3.17,0.39,10,5,0.7336392219
1,6.6,0.16,0.32,1.4,0.035,49,186,0.9906,3.35,0.64,12.4,8,0.6415306295
1,6.6,0.26,0.24,7.2,0.038,28,137,0.9952,3.35,0.6,10.4,6,0.9320532023
1,5.7,0.28,0.24,17.5,0.044,60,167,0.9989,3.31,0.44,9.4,5,0.0014887131
1,5.9,0.2,0.23,1.5,0.037,38,93,0.99021,3.36,0.49,12,6,0.0142845011
1,8.2,0.345,1,18.2,0.047,55,205,0.99965,2.96,0.43,9.6,5,0.2001171275
1,8.4,0.28,0.4,8.9,0.048,33,146,0.9988,3.4,0.46,9.3,5,0.9730264654
0,8.7,0.69,0,3.2,0.084,13,33,0.9992,3.36,0.45,9.4,5,0.541079317
0,8,0.45,0.23,2.2,0.094,16,29,0.9962,3.21,0.49,10.2,6,0.4028370865
0,9.2,0.46,0.23,2.6,0.091,18,77,0.99922,3.15,0.51,9.4,5,0.3581328541
1,6.8,0.28,0.36,7,0.043,60,207,0.99556,3.16,0.49,9.6,6,0.6983375154
0,11.8,0.26,0.52,1.8,0.071,6,10,0.9968,3.2,0.72,10.2,7,0.9345530283
1,8.2,0.21,0.32,10.65,0.053,53,145,0.9972,3.17,0.48,10.2,6,0.8723424466
1,7.7,0.16,0.36,5.9,0.054,25,148,0.99578,3.25,0.54,10.2,6,0.5670171136
0,9,0.38,0.41,2.4,0.103,6,10,0.99604,3.13,0.58,11.9,7,0.5876652123
1,8.2,0.38,0.49,13.6,0.042,58,166,0.99855,3.1,0.54,9.4,5,0.5202391816
1,8,0.27,0.57,10.4,0.053,18,134,0.99732,3.12,0.68,9,5,0.715427873
